"ID","pred_MonthlyIncome"
871,6069.7656494186
872,2268.2661771834
873,14590.3223934118
874,2699.25390922159
875,1686.44969692478
876,7271.11708840277
877,5328.94300536255
878,2296.13151829873
879,1829.5354416888
880,15222.167754162
881,11377.6971130406
882,2701.21046454034
883,6289.17967612869
884,6144.42043720134
885,6770.68700512965
886,6100.21521804686
887,5635.57891058742
888,6557.66372955222
889,5926.68287220401
890,2386.35335077305
891,5870.18905549088
892,9745.11290488089
893,9143.88493211581
894,5898.061908264
895,11398.416628561
896,9853.50246418266
897,10756.9614246242
898,14141.6451386987
899,6009.27185203274
900,2259.56181849073
901,2286.82196004171
902,7016.27375526999
903,6378.96598298888
904,3112.84768587845
905,14927.5119584369
906,5993.79304508656
907,10657.8074263485
908,5854.21591174436
909,2040.52316726635
910,2004.54143406605
911,18130.0092538211
912,2486.56548930756
913,2849.53981429774
914,9732.88946847802
915,6264.73897016898
916,6021.17035958189
917,2583.0643050391
918,6047.56393632273
919,2229.3376391263
920,3096.48380581527
921,2116.81106562225
922,1891.88857078787
923,6508.62232561598
924,6509.29064672802
925,15909.6960789308
926,2146.72487112274
927,5998.68069452674
928,9717.32415838013
929,1911.80071592197
930,1965.15642049975
931,6119.54632275704
932,9766.50859855265
933,9935.23745410189
934,1746.89510331334
935,2620.60870378043
936,2660.37104394857
937,10648.3068439092
938,10471.4857613445
939,6320.50648511548
940,2542.29348088835
941,3475.08627880099
942,9789.19111257398
943,10242.4013295232
944,6219.2724588987
945,1740.28396377815
946,6123.10699669981
947,2308.42070939968
948,2130.52454715846
949,2546.03473992125
950,5706.43266628766
951,2686.06004153788
952,5781.91191064763
953,6405.70079375157
954,2457.61698998534
955,6091.83291168457
956,9722.7830514392
957,11878.4119546692
958,1584.55760430711
959,10897.0012583492
960,19081.0303008809
961,1940.15160217077
962,5552.05327636137
963,6719.26257700911
964,6499.00620323141
965,1640.91652366436
966,18203.1318187663
967,1988.20734811164
968,9875.61616422822
969,15977.6213552332
970,2250.4327882359
971,5755.04899845205
972,5975.81834450729
973,2391.11668873662
974,1910.28402109905
975,5798.52886105057
976,1812.04502213106
977,7105.70893127385
978,2135.50913003953
979,9276.74843499226
980,18781.6618036388
981,2301.44911415205
982,10374.4745859481
983,1958.25636534719
984,2548.09617677075
985,6271.55408557641
986,2846.92039723677
987,2172.19161545873
988,6159.4193731938
989,10136.7492495303
990,2169.52338938094
991,5987.53330951262
992,2388.57947987541
993,6144.68272759896
994,6284.51937027795
995,5816.62426538256
996,6156.3504849595
997,1969.63741985175
998,14935.2902811345
999,9481.51087607355
1000,2225.545767769
1001,6789.66132941207
1002,6179.98868531163
1003,6354.89460923067
1004,7074.77612621303
1005,2247.1091412227
1006,6282.38201311138
1007,2390.9126453916
1008,5864.77796835228
1009,18530.7373578851
1010,6303.55470759341
1011,10981.6434069949
1012,6633.53281662752
1013,5649.48163035767
1014,6414.19508769435
1015,6184.38290920542
1016,1980.24046702588
1017,1987.79528620365
1018,9764.02138190245
1019,9809.37114739732
1020,2225.53608765262
1021,5862.91279382428
1022,6490.61392069685
1023,5768.04513469888
1024,10855.5023068542
1025,14035.258553963
1026,18619.3557012399
1027,6524.31205176285
1028,5698.91735758656
1029,6116.15420250726
1030,10577.017593158
1031,6094.87333595456
1032,2379.62691215666
1033,9317.2113752215
1034,2368.97444089384
1035,5882.56627367235
1036,1983.15610426921
1037,5779.5408972458
1038,10169.0148530938
1039,9868.69824019479
1040,6222.64194910716
1041,1494.47403043305
1042,2204.92869634025
1043,10116.3330727366
1044,6115.96107410232
1045,2149.80269466806
1046,2252.91900838983
1047,5960.0882964482
1048,9575.66863016474
1049,2133.67326062718
1050,5888.80967769395
1051,11524.1865000952
1052,1770.67326011675
1053,6028.20962790146
1054,2346.01429259484
1055,2370.88311914885
1056,2663.28480740997
1057,6107.15860068272
1058,13673.7665691751
1059,7049.17564250392
1060,2470.37356029867
1061,6353.97458727967
1062,6354.7842074512
1063,6308.93957974008
1064,2347.78630002831
1065,6094.80110516905
1066,2207.29994357653
1067,3768.19723037756
1068,18753.3968075248
1069,5978.70715417602
1070,1910.11405184898
1071,2474.86824849207
1072,5961.87245381285
1073,2090.55700442586
1074,6275.56538293666
1075,6146.40632503083
1076,14503.6075105266
1077,17947.7331535292
1078,6170.02319274723
1079,6041.34331120231
1080,6792.49639484647
1081,2532.94151403963
1082,2249.78060962939
1083,2566.78565205854
1084,6031.34867234008
1085,9027.98575049019
1086,9838.37729508761
1087,6510.92641881707
1088,2492.31846893687
1089,2310.12150085823
1090,5704.4948849629
1091,5314.36430354352
